user_id,first_name,last_name,email,company_name,domain_name,signup_date,plan,monthly_fee,status,last_login,total_revenue_generated,signup_month,signup_year
1,Andrew,Dodson,andrew.dodson@johnston.org,"Ortiz, Long and Wade",mitchell-woods.net,2024-05-18,Professional,97,Active,2024-12-26,1940,5,2024
2,Randall,Greene,randall.greene@lawson.info,Daniels-Nolan,parks.com,2024-05-25,Starter,47,Canceled,2025-01-17,376,5,2024
3,Terri,Anderson,terri.anderson@erickson.org,"Kennedy, Brown and Schmitt",johnson.info,2024-04-22,Enterprise,199,Active,2024-07-18,398,4,2024
4,Nathan,Sanchez,nathan.sanchez@herrera.com,Ayers-Navarro,robinson.com,2024-06-29,Starter,47,Active,2024-08-07,47,6,2024
5,John,Lamb,john.lamb@smith.com,"Peters, Aguilar and Howard",mitchell.net,2025-01-13,Enterprise,199,Canceled,2025-01-19,1791,1,2025
6,Erica,Bird,erica.bird@smith-wright.org,Thomas Inc,taylor-mclaughlin.com,2023-06-09,Professional,97,Canceled,2024-02-19,485,6,2023
7,Marissa,Parker,marissa.parker@brown.org,Richards PLC,jenkins.com,2024-11-24,Enterprise,199,Canceled,2024-12-05,1990,11,2024
8,Donna,Medina,donna.medina@miller.com,Poole-Douglas,david.com,2024-07-19,Starter,47,Active,2024-11-07,517,7,2024
9,Laura,Hughes,laura.hughes@scott-wood.com,Flores-Harris,compton.net,2024-11-17,Enterprise,199,Active,2025-01-08,1393,11,2024
10,Sonya,King,sonya.king@gregory.com,"Leach, Williams and Smith",durham.com,2024-03-14,Enterprise,199,Canceled,2024-08-11,1393,3,2024
11,Stephanie,Hurley,stephanie.hurley@mcguire.net,Vazquez Inc,bennett.com,2024-12-05,Starter,47,Active,2025-01-10,940,12,2024
12,Michael,Carr,michael.carr@brown.com,Lopez-Jensen,kelly.net,2023-04-25,Enterprise,199,Active,2023-09-04,2985,4,2023
13,Jonathan,Knox,jonathan.knox@riley-walters.info,Brown Inc,foster.org,2023-04-11,Starter,47,Canceled,2024-04-04,188,4,2023
14,Connie,Arnold,connie.arnold@curtis.net,Fowler Ltd,lucas-winters.biz,2023-02-02,Enterprise,199,Active,2023-09-24,2587,2,2023
15,Robert,Jacobson,robert.jacobson@fischer.com,Jones LLC,baker.info,2023-11-18,Professional,97,Active,2024-09-17,873,11,2023
16,Ryan,Jones,ryan.jones@wang-wood.org,"Murray, Simmons and Jones",andersen-elliott.com,2023-08-29,Professional,97,Active,2024-07-21,97,8,2023
17,Ashley,Boyle,ashley.boyle@ferguson.org,Buckley-Marshall,west.com,2023-06-05,Starter,47,Canceled,2024-08-17,94,6,2023
18,Eric,Morris,eric.morris@blevins.com,"Fuentes, Cantrell and Howell",li.info,2023-11-12,Enterprise,199,Canceled,2024-01-31,1791,11,2023
19,Kenneth,Harvey,kenneth.harvey@dorsey.net,Cohen Inc,daugherty.com,2024-12-09,Professional,97,Active,2025-01-07,291,12,2024
20,Lisa,Moran,lisa.moran@sheppard.info,"Spencer, Miller and Richard",west.com,2023-04-11,Professional,97,Active,2023-10-10,582,4,2023
21,Matthew,Cook,matthew.cook@black.com,Walker Inc,burnett-fernandez.info,2024-02-27,Starter,47,Active,2024-06-14,329,2,2024
22,Cindy,Adams,cindy.adams@henderson.com,Mathis-Conway,sullivan.biz,2024-08-06,Starter,47,Canceled,2025-01-18,47,8,2024
23,Christine,Clark,christine.clark@foster.com,Davidson Inc,garcia.org,2023-05-15,Professional,97,Active,2023-09-23,1067,5,2023
24,Jerome,Carlson,jerome.carlson@mills.info,Johnson-Campbell,york.com,2024-04-25,Enterprise,199,Canceled,2024-07-22,796,4,2024
25,Monica,Young,monica.young@wood.net,"Reynolds, Watson and Wade",shelton-fowler.com,2023-06-25,Enterprise,199,Canceled,2024-06-26,2388,6,2023
26,Gary,Blankenship,gary.blankenship@hampton.com,Jones-Huynh,gutierrez-porter.com,2025-01-09,Professional,97,Canceled,2025-01-18,485,1,2025
27,Nathan,Black,nathan.black@simmons.net,Matthews Ltd,campbell.com,2024-08-06,Professional,97,Canceled,2024-12-17,970,8,2024
28,Brian,Scott,brian.scott@murillo-owen.com,Ford-Yoder,coleman.com,2024-03-03,Professional,97,Active,2024-03-05,582,3,2024
29,Ian,Kim,ian.kim@giles-jones.com,"Hernandez, Bates and Johnston",hall.com,2023-04-12,Professional,97,Active,2024-02-09,2328,4,2023
30,Chad,Shaw,chad.shaw@gibson-lucero.org,Mccarty Group,russell-davis.com,2024-01-16,Enterprise,199,Active,2024-12-14,3582,1,2024
31,Lynn,Landry,lynn.landry@grant.org,Tate-Drake,schneider.info,2024-04-10,Professional,97,Canceled,2024-07-28,485,4,2024
32,Deborah,Mclaughlin,deborah.mclaughlin@shannon-weiss.com,French-Jordan,garcia.com,2023-10-16,Professional,97,Active,2023-11-25,2037,10,2023
33,Elijah,Miranda,elijah.miranda@jackson-graham.biz,Valencia Ltd,mathis-jimenez.org,2024-06-17,Enterprise,199,Active,2024-09-17,1990,6,2024
34,Kaitlyn,Kelly,kaitlyn.kelly@burgess.info,"Reed, Tran and Carter",garcia-phillips.net,2023-11-27,Starter,47,Canceled,2024-09-27,329,11,2023
35,Elizabeth,Cain,elizabeth.cain@best.net,Barton-Jenkins,pierce.biz,2024-08-13,Starter,47,Canceled,2024-12-27,517,8,2024
36,Deborah,Mcconnell,deborah.mcconnell@jacobs.com,Thompson-Odom,choi-hughes.com,2024-11-29,Starter,47,Canceled,2024-11-29,235,11,2024
37,Jonathan,Campbell,jonathan.campbell@williams.com,Jackson Inc,lopez-robinson.com,2023-07-13,Enterprise,199,Active,2023-11-09,4577,7,2023
38,Anthony,Brown,anthony.brown@williams-hernandez.info,Jackson and Sons,fowler.com,2024-09-10,Enterprise,199,Active,2024-09-15,2985,9,2024
39,Justin,Williams,justin.williams@robinson-richardson.com,Manning and Sons,larson-hampton.com,2024-02-09,Professional,97,Active,2024-05-10,1843,2,2024
40,Thomas,Nguyen,thomas.nguyen@marshall.com,Cooper PLC,mahoney.com,2024-01-06,Professional,97,Canceled,2024-04-28,970,1,2024
41,Kimberly,Rodriguez,kimberly.rodriguez@wright.org,"Olson, Herring and Alexander",henderson.info,2023-08-04,Professional,97,Canceled,2024-03-07,873,8,2023
42,Kevin,Schneider,kevin.schneider@beard.org,"Myers, Powers and Cooper",davis.com,2023-12-16,Starter,47,Canceled,2024-07-14,235,12,2023
43,Barbara,Chen,barbara.chen@cooley-wilson.com,Gutierrez Group,reed-brock.biz,2023-08-19,Professional,97,Canceled,2024-07-18,485,8,2023
44,Thomas,Gentry,thomas.gentry@anderson.info,Davis Ltd,carlson.com,2024-07-28,Professional,97,Canceled,2024-11-12,776,7,2024
45,Lisa,Farmer,lisa.farmer@hughes.info,Reynolds LLC,parker.com,2023-03-13,Starter,47,Active,2023-08-12,1081,3,2023
46,Alicia,Cameron,alicia.cameron@gould.com,Gonzalez Group,serrano.org,2024-12-25,Enterprise,199,Active,2025-01-18,2985,12,2024
47,Vanessa,Warner,vanessa.warner@williams.com,Smith and Sons,adams.biz,2023-05-22,Starter,47,Active,2024-05-06,329,5,2023
48,Kathy,Jones,kathy.jones@thompson.com,Flowers Ltd,yang-winters.com,2023-08-13,Professional,97,Active,2024-04-28,776,8,2023
49,Dominique,Henderson,dominique.henderson@reese-cole.biz,Malone-Schneider,reed-jones.com,2023-11-12,Professional,97,Canceled,2024-05-28,485,11,2023
50,Tina,Fisher,tina.fisher@king.net,"Ayala, Ray and Ortiz",matthews.com,2024-10-27,Enterprise,199,Canceled,2024-12-24,1393,10,2024
51,Denise,Bauer,denise.bauer@jones-thompson.com,Hess and Sons,watson.com,2023-10-16,Starter,47,Canceled,2024-09-03,282,10,2023
52,David,Rodriguez,david.rodriguez@simpson.com,"Jones, Kennedy and Schneider",gregory.org,2024-09-20,Starter,47,Canceled,2024-12-26,564,9,2024
53,James,Hughes,james.hughes@collins.info,Gonzalez Group,lang.com,2023-08-02,Enterprise,199,Canceled,2023-09-16,398,8,2023
54,Angela,Molina,angela.molina@taylor.com,Smith and Sons,holmes-brown.net,2023-08-09,Starter,47,Canceled,2024-12-10,470,8,2023
55,Samantha,Nicholson,samantha.nicholson@walter-rivers.com,"White, Bryan and Robinson",adams.net,2024-12-15,Professional,97,Canceled,2024-12-17,1067,12,2024
56,Christian,Osborne,christian.osborne@morales.com,Mckinney-Wilson,soto-cooley.com,2024-07-24,Professional,97,Active,2024-10-29,2037,7,2024
57,Douglas,Everett,douglas.everett@robertson.com,Jackson-Martin,martin.com,2023-08-10,Professional,97,Canceled,2024-06-13,776,8,2023
58,Dillon,Fields,dillon.fields@smith-cummings.com,Macdonald-Manning,giles.com,2023-06-24,Enterprise,199,Canceled,2023-10-17,1194,6,2023
59,Rachel,Gross,rachel.gross@vang.biz,Moreno-Young,edwards.info,2023-09-22,Enterprise,199,Active,2024-01-16,2388,9,2023
60,Robin,Ramirez,robin.ramirez@freeman-white.info,"Rodgers, Frazier and Jones",campos.net,2023-06-30,Enterprise,199,Active,2023-09-13,3980,6,2023
61,Carlos,Church,carlos.church@smith-garcia.com,"Smith, Robertson and Rosario",moyer.com,2023-08-23,Professional,97,Canceled,2024-06-16,291,8,2023
62,Pamela,Ho,pamela.ho@houston-padilla.net,"Abbott, Key and Lloyd",roberts.com,2024-08-03,Professional,97,Canceled,2024-08-16,776,8,2024
63,Virginia,Chung,virginia.chung@jackson.biz,"Mckay, Holden and Mendoza",hunter.com,2024-07-25,Professional,97,Canceled,2024-12-07,970,7,2024
64,Nicole,Bennett,nicole.bennett@hunter-solomon.com,"Ellis, Davis and Nelson",wilson.biz,2023-03-13,Starter,47,Canceled,2023-04-09,141,3,2023
65,Tonya,Salinas,tonya.salinas@reese.com,Holt Inc,roberts.com,2024-08-13,Professional,97,Canceled,2024-08-19,97,8,2024
66,Victor,Williams,victor.williams@washington.net,"Brooks, Morton and Carter",richardson.com,2024-03-15,Starter,47,Canceled,2024-08-26,517,3,2024
67,Andrew,White,andrew.white@byrd.com,Edwards PLC,matthews.com,2023-11-22,Professional,97,Active,2024-08-08,1164,11,2023
68,Jeremy,Maldonado,jeremy.maldonado@fernandez.com,"Duarte, Rowe and Walsh",yang.org,2023-02-04,Professional,97,Canceled,2024-07-12,679,2,2023
69,Cindy,Drake,cindy.drake@downs-martin.com,"Morgan, Smith and Barnett",hurst.com,2023-02-16,Professional,97,Active,2023-10-30,1940,2,2023
70,James,Goodman,james.goodman@burke.net,Snow-Cole,johnson-oliver.com,2023-08-16,Starter,47,Canceled,2024-10-01,94,8,2023
71,Julie,Serrano,julie.serrano@fowler.com,Hurst-Davis,morris.com,2024-07-04,Enterprise,199,Active,2024-11-08,4179,7,2024
72,Brett,Chavez,brett.chavez@wall.biz,Palmer and Sons,austin.com,2023-07-11,Professional,97,Active,2024-06-30,2231,7,2023
73,David,Vasquez,david.vasquez@glass.net,"Reid, Lopez and Scott",edwards.net,2023-11-07,Starter,47,Canceled,2024-08-18,94,11,2023
74,Megan,Campbell,megan.campbell@lester.info,Williams LLC,ford-watson.com,2023-10-02,Professional,97,Canceled,2024-05-18,582,10,2023
75,Diane,Short,diane.short@khan.com,"Bryan, Lambert and Turner",holmes.com,2023-12-06,Enterprise,199,Active,2024-02-10,3383,12,2023
76,Daniel,Johnson,daniel.johnson@clark.net,Foster-Lynn,turner.info,2023-09-23,Professional,97,Active,2024-06-19,2328,9,2023
77,Alison,Watson,alison.watson@thompson-hodges.biz,Anderson Group,ortiz.org,2023-08-30,Enterprise,199,Active,2024-05-17,2388,8,2023
78,John,Garrison,john.garrison@harper.biz,Rodriguez LLC,foster.com,2024-01-29,Starter,47,Canceled,2024-03-19,564,1,2024
79,Julia,Davis,julia.davis@yoder.com,Aguilar-Roberts,henderson.net,2024-04-21,Professional,97,Canceled,2024-10-02,97,4,2024
80,Travis,Medina,travis.medina@sanchez-rowe.biz,"Tran, Thompson and Landry",hubbard-hardy.net,2024-03-28,Enterprise,199,Active,2024-07-20,2388,3,2024
81,Edward,Kelley,edward.kelley@soto.com,Huang-Estrada,anderson.com,2025-01-12,Enterprise,199,Active,2025-01-15,1791,1,2025
82,Joshua,Davenport,joshua.davenport@vance.org,"Snyder, Rodriguez and Mclaughlin",jimenez-bray.com,2023-09-18,Professional,97,Active,2024-06-15,970,9,2023
83,Peggy,Nelson,peggy.nelson@phillips-meyers.com,Moran Inc,watson.com,2024-04-19,Enterprise,199,Canceled,2024-06-25,1990,4,2024
84,Lisa,Sparks,lisa.sparks@flores-miller.biz,Carr-Davis,hicks-duran.net,2023-04-09,Starter,47,Canceled,2023-08-20,517,4,2023
85,Rhonda,George,rhonda.george@ryan-lane.com,Cruz Inc,brooks-stewart.info,2024-12-05,Starter,47,Canceled,2024-12-06,47,12,2024
86,Laura,Carter,laura.carter@hall.info,Johnson and Sons,ewing.org,2024-03-07,Starter,47,Active,2024-04-10,1034,3,2024
87,Mark,Diaz,mark.diaz@carpenter-branch.com,Humphrey Group,price.net,2023-11-27,Professional,97,Canceled,2024-05-20,388,11,2023
